loan_amnt,term,verification_status,gradeencoding,emplen,purpose,home_ownership,loan_status
5000.0,36,Verified,5.5,12,credit_card,RENT,Fully Paid
2500.0,60,Source Verified,4.3,0,car,RENT,Charged Off
2400.0,36,Not Verified,4.2,12,small_business,RENT,Fully Paid
10000.0,36,Source Verified,4.6,12,other,RENT,Fully Paid
3000.0,60,Source Verified,5.2,1,other,RENT,Fully Paid
5000.0,36,Source Verified,6.3,3,wedding,RENT,Fully Paid
7000.0,60,Not Verified,4.2,8,debt_consolidation,RENT,Fully Paid
3000.0,36,Source Verified,2.6,9,car,RENT,Fully Paid
5600.0,60,Source Verified,1.5,4,small_business,OWN,Charged Off
5375.0,60,Verified,5.2,0,other,RENT,Charged Off
6500.0,60,Not Verified,4.4,5,debt_consolidation,OWN,Fully Paid
12000.0,36,Source Verified,5.2,12,debt_consolidation,OWN,Fully Paid
9000.0,36,Source Verified,4.6,0,debt_consolidation,RENT,Charged Off
3000.0,36,Source Verified,5.6,3,credit_card,RENT,Fully Paid
10000.0,36,Source Verified,5.5,3,other,RENT,Charged Off
1000.0,36,Not Verified,3.6,0,debt_consolidation,RENT,Fully Paid
10000.0,36,Not Verified,4.3,4,home_improvement,RENT,Fully Paid
3600.0,36,Not Verified,6.6,12,major_purchase,MORTGAGE,Fully Paid
6000.0,36,Verified,5.4,1,medical,MORTGAGE,Fully Paid
9200.0,36,Not Verified,6.6,6,debt_consolidation,RENT,Fully Paid
20250.0,60,Verified,4.3,3,debt_consolidation,RENT,Fully Paid
21000.0,36,Verified,5.3,12,debt_consolidation,RENT,Charged Off
10000.0,36,Source Verified,5.4,12,credit_card,OWN,Fully Paid
10000.0,36,Not Verified,5.4,5,debt_consolidation,RENT,Fully Paid
6000.0,36,Not Verified,5.4,1,major_purchase,RENT,Charged Off
15000.0,36,Verified,5.6,2,credit_card,MORTGAGE,Fully Paid
15000.0,36,Not Verified,4.5,9,debt_consolidation,RENT,Charged Off
5000.0,60,Not Verified,3.5,2,other,RENT,Charged Off
4000.0,36,Not Verified,5.4,12,debt_consolidation,MORTGAGE,Fully Paid
8500.0,36,Source Verified,5.4,0,credit_card,RENT,Fully Paid
4375.0,36,Source Verified,6.4,7,debt_consolidation,MORTGAGE,Fully Paid
31825.0,36,Verified,6.3,5,debt_consolidation,MORTGAGE,Fully Paid
10000.0,60,Verified,4.2,2,debt_consolidation,RENT,Fully Paid
5000.0,36,Verified,6.2,2,debt_consolidation,RENT,Fully Paid
7000.0,36,Source Verified,4.2,7,credit_card,RENT,Fully Paid
12400.0,36,Not Verified,5.5,12,credit_card,RENT,Fully Paid
10800.0,36,Source Verified,5.6,2,moving,RENT,Fully Paid
15000.0,36,Verified,6.3,1,debt_consolidation,RENT,Fully Paid
6000.0,36,Source Verified,5.3,1,debt_consolidation,RENT,Fully Paid
12500.0,60,Verified,5.2,1,debt_consolidation,RENT,Fully Paid
9600.0,36,Source Verified,6.4,4,other,RENT,Fully Paid
12000.0,36,Not Verified,6.3,12,debt_consolidation,RENT,Fully Paid
3000.0,36,Not Verified,3.2,9,other,MORTGAGE,Fully Paid
4400.0,36,Not Verified,3.5,12,debt_consolidation,RENT,Fully Paid
6000.0,36,Not Verified,6.6,12,debt_consolidation,MORTGAGE,Fully Paid
14000.0,36,Not Verified,5.6,6,small_business,RENT,Fully Paid
5000.0,36,Source Verified,6.2,12,debt_consolidation,MORTGAGE,Charged Off
10000.0,36,Verified,5.5,6,other,RENT,Fully Paid
10000.0,36,Not Verified,6.6,12,credit_card,RENT,Fully Paid
11000.0,36,Not Verified,6.5,5,debt_consolidation,RENT,Fully Paid
15000.0,36,Not Verified,5.6,8,debt_consolidation,MORTGAGE,Charged Off
25600.0,36,Verified,5.6,9,credit_card,RENT,Fully Paid
7000.0,36,Not Verified,5.5,0,debt_consolidation,RENT,Fully Paid
12000.0,36,Not Verified,4.2,4,car,RENT,Charged Off
12000.0,36,Not Verified,5.6,1,credit_card,RENT,Fully Paid
21000.0,60,Verified,2.3,7,debt_consolidation,RENT,Charged Off
16000.0,60,Verified,2.3,7,credit_card,RENT,Fully Paid
10000.0,36,Not Verified,5.3,0,debt_consolidation,OWN,Fully Paid
10000.0,36,Not Verified,5.5,2,credit_card,RENT,Fully Paid
7100.0,36,Verified,3.5,1,debt_consolidation,MORTGAGE,Fully Paid
13000.0,60,Source Verified,5.2,0,debt_consolidation,MORTGAGE,Fully Paid
17500.0,60,Verified,3.4,6,small_business,RENT,Fully Paid
17675.0,60,Source Verified,4.4,0,debt_consolidation,RENT,Fully Paid
8000.0,36,Not Verified,3.5,0,debt_consolidation,RENT,Fully Paid
10000.0,60,Verified,5.5,12,debt_consolidation,RENT,Charged Off
3500.0,36,Not Verified,5.5,7,debt_consolidation,MORTGAGE,Fully Paid
12500.0,60,Source Verified,3.4,5,debt_consolidation,RENT,Charged Off
16425.0,36,Source Verified,4.5,4,debt_consolidation,RENT,Fully Paid
8200.0,60,Source Verified,1.5,4,small_business,RENT,Charged Off
15000.0,36,Verified,4.4,2,credit_card,OWN,Fully Paid
20975.0,60,Verified,3.3,5,credit_card,MORTGAGE,Fully Paid
6400.0,36,Not Verified,3.5,5,debt_consolidation,RENT,Charged Off
3000.0,36,Not Verified,4.6,1,debt_consolidation,RENT,Fully Paid
12000.0,36,Not Verified,3.5,3,credit_card,RENT,Fully Paid
14400.0,36,Source Verified,6.2,0,debt_consolidation,OWN,Fully Paid
12000.0,36,Not Verified,4.4,12,debt_consolidation,RENT,Fully Paid
11000.0,36,Verified,4.6,12,debt_consolidation,MORTGAGE,Fully Paid
7250.0,60,Verified,1.4,0,debt_consolidation,RENT,Fully Paid
