,name,position,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,Free Kick Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
7,Ever Banega ,CAM,80,67,45,88,65,81,83,81,85,85,73,69,84,84,86,74,59,69,67,77,77,70,79,88,67,82,57,75,61,13,8,7,7,10
8,Javier Mascherano ,CB CDM,63,42,68,79,51,58,63,50,75,80,67,65,71,83,78,76,75,86,74,55,88,90,51,68,60,86,82,84,83,6,10,8,5,5
12,Marcos Rojo ,CB LB,76,52,85,72,49,69,67,57,73,71,74,74,71,79,62,79,86,81,83,63,89,80,59,57,64,67,79,83,83,7,8,12,15,10
13,Mateo Musacchio ,CB,55,48,81,78,36,43,53,45,70,73,75,70,73,81,59,57,83,72,81,53,81,85,50,64,57,70,85,84,86,5,11,12,6,12
15,Ezequiel Garay ,CB,62,58,85,69,49,62,55,74,72,73,50,54,57,77,38,80,71,75,85,68,74,84,49,63,69,79,84,85,82,14,6,13,13,14
16,Pablo Zabaleta ,RB,75,49,76,72,53,73,68,66,64,76,67,68,71,86,66,66,84,85,79,57,88,86,71,66,64,70,86,85,84,10,14,15,7,5
17,Lucas Biglia ,CDM CM,74,52,54,83,78,76,71,76,82,84,74,69,76,80,78,77,62,80,72,75,83,82,55,80,72,80,70,80,77,14,12,7,12,7
18,Augusto Fernandez ,CM CDM,70,69,59,82,57,78,65,61,81,82,67,71,75,85,75,74,59,79,73,73,80,77,78,82,62,81,57,76,64,9,13,6,16,9
19,Roberto Pereyra ,CM CAM,78,61,60,83,74,84,78,72,77,85,81,81,82,76,75,66,65,83,64,72,66,70,80,82,72,78,64,70,70,4,5,3,4,8
22,Claudio Yacob ,CDM CM,34,58,78,83,23,66,52,55,74,76,55,51,59,77,68,63,76,83,70,67,85,84,42,69,66,79,77,81,74,6,6,12,9,8
27,Cristian Ansaldi ,LB RB,78,57,70,75,51,72,62,45,72,74,79,83,79,81,66,60,70,87,69,66,73,75,65,70,52,81,79,77,83,15,15,11,8,8
36,Nicolas Pareja ,CB,65,51,80,81,49,59,70,78,82,78,52,41,45,82,61,77,69,52,77,69,83,80,43,56,69,83,77,80,76,14,14,15,14,13
47,Guido Pizarro ,CDM CM,62,59,60,80,62,68,66,54,72,72,60,57,61,72,49,66,71,91,80,65,87,80,67,71,60,74,72,75,73,7,12,16,15,7
48,Marcos Acuna ,LM,84,61,55,76,37,79,78,78,71,76,85,84,81,72,84,77,69,89,70,82,74,63,66,78,43,76,53,58,54,8,14,13,13,14
49,Enzo Perez ,CM CDM,66,66,58,85,58,67,62,63,73,82,74,67,76,78,78,79,75,88,74,68,86,80,69,73,82,83,71,80,78,9,11,7,15,13
57,David Abraham ,CB,44,48,79,74,65,54,54,63,73,64,77,85,61,76,54,77,78,68,79,53,80,74,42,55,56,73,76,80,78,6,10,12,9,8
65,Pablo Perez ,CM,69,61,58,78,39,69,65,72,76,79,70,71,74,81,77,69,60,86,76,65,92,71,69,80,59,73,66,77,73,10,7,16,15,14
67,Lucas Castro ,CM RM,78,60,58,78,67,80,76,68,74,80,79,79,77,76,78,77,66,78,74,72,59,69,75,77,68,77,49,65,61,6,7,9,15,5
69,Leandro Paredes ,CDM CM,74,55,60,83,73,77,79,71,80,82,75,69,77,74,77,80,61,79,71,76,79,72,64,82,57,74,64,75,72,9,14,6,9,10
75,Esteban Cambiasso ,CM CDM,70,68,70,79,75,67,67,59,73,80,55,55,63,80,73,75,70,60,73,72,75,80,73,71,75,87,69,77,73,9,7,13,7,15
76,Gino Peruzzi ,RB,68,38,58,69,40,68,66,50,66,70,81,86,73,76,70,68,74,83,65,60,74,83,55,53,46,72,72,75,76,10,13,9,5,8
77,Fernando Gago ,CM,64,47,59,80,55,71,66,67,76,77,63,66,72,78,70,76,72,67,59,68,72,78,64,81,69,58,73,78,75,7,10,12,8,12
81,Facundo Roncaglia ,CB RB LB,68,38,70,69,25,59,67,52,81,69,63,71,65,72,69,80,80,68,73,73,74,80,51,59,35,70,75,81,80,15,14,15,6,15
82,Emmanuel Mas ,LB,68,55,75,73,60,72,64,50,67,75,82,80,70,74,66,72,80,91,76,65,74,75,76,70,57,64,71,73,78,7,7,15,14,16
84,Matias Kranevitter ,CDM CM,60,42,56,74,33,67,47,44,72,73,64,67,65,71,76,61,74,81,70,44,80,82,53,66,46,74,72,83,79,12,13,7,6,7
87,Oscar Trejo ,CAM CM RM,74,73,66,78,72,82,74,72,72,80,69,76,83,70,77,73,63,81,70,70,70,62,70,79,70,73,59,65,55,14,14,7,16,11
89,Ramiro Funes Mori ,CB,73,40,80,67,25,63,49,58,55,69,69,75,66,71,61,69,78,75,79,59,83,73,49,47,52,46,75,78,76,9,9,13,10,7
90,Gonzalo Escalante ,CDM CM RM,63,56,44,78,59,70,63,52,66,71,64,68,66,78,64,77,62,85,69,58,84,81,59,67,64,80,70,84,78,10,12,7,12,11
96,Leonardo Ponzio ,CDM,67,47,65,75,41,65,57,70,74,74,66,48,75,78,67,79,77,66,69,70,80,76,69,69,70,73,79,76,77,16,9,10,14,12
97,Nicolas Tagliafico ,LB,68,33,73,69,33,71,61,40,68,73,91,93,83,68,82,66,84,79,62,63,73,74,60,55,46,60,71,73,74,13,9,10,15,16
99,Leonel Vangioni ,LB,76,51,56,69,61,71,71,51,69,74,88,85,77,70,69,78,73,85,60,73,85,75,68,64,62,68,72,72,73,9,9,9,11,7
104,Gabriel Mercado ,RB CB,63,52,77,65,25,53,56,54,64,66,77,79,55,72,52,63,76,81,83,55,84,81,61,60,49,73,76,75,78,12,16,10,12,6
107,Mariano Izco ,CM CDM,70,58,60,78,60,78,68,50,74,78,69,75,69,76,68,82,55,78,74,70,72,75,61,77,60,77,68,74,64,5,14,15,10,8
112,Jose Luis Gomez ,RB RM,64,52,55,72,35,67,57,35,64,71,93,92,85,74,85,64,79,85,43,56,68,85,60,54,45,69,64,69,71,13,11,13,7,7
114,Emiliano Insua ,LB,76,50,72,76,64,73,59,68,73,74,64,63,67,76,69,85,72,79,79,76,79,80,70,67,66,76,76,77,77,11,10,9,8,16
117,Ivan Marcone ,CDM,58,46,70,77,49,69,59,60,81,70,55,39,58,72,59,73,41,80,80,64,80,77,56,61,59,63,69,73,67,16,11,12,16,10
119,Javier Pinola ,CB,65,38,65,75,46,64,65,55,66,73,69,68,64,76,68,72,82,62,72,59,80,73,55,56,38,72,80,74,76,8,12,11,7,11
121,Milton Casco ,LB,68,58,62,70,21,70,68,58,65,72,85,85,84,66,84,78,82,89,60,68,78,71,70,53,46,57,70,72,75,15,8,13,12,6
127,Gabriel Penalba ,CM CDM,67,64,66,74,61,77,70,64,75,77,52,55,53,70,54,73,32,75,89,71,76,72,66,74,76,76,66,72,60,7,14,6,7,12
128,Santiago Garcia ,LB,75,49,82,69,40,71,64,46,65,68,68,75,54,69,53,64,72,78,78,49,90,77,62,55,67,74,67,75,77,16,12,16,6,9
130,Roman Martinez ,CM,64,69,58,80,65,72,74,59,77,74,68,68,68,69,58,75,71,74,75,68,68,59,73,76,41,71,59,70,62,9,10,8,8,15
131,Alberto Costa ,CM,70,59,72,78,65,70,74,78,79,79,66,64,74,74,80,80,60,56,70,76,72,71,68,78,74,73,63,71,66,12,16,7,14,7
133,Franco Mussis ,CDM,60,46,52,72,49,65,63,65,70,72,79,75,77,75,78,76,73,87,79,78,84,79,61,72,51,75,72,70,67,11,14,14,8,14
139,Rodrigo Battaglia ,CM CDM,49,62,68,74,59,73,60,66,70,74,66,67,59,78,67,78,64,89,82,77,77,80,65,67,57,70,71,78,67,7,7,7,9,9
145,Paolo Goltz ,CB,55,48,78,65,53,58,73,68,66,62,63,66,54,72,52,70,69,64,83,62,88,72,45,59,66,73,74,74,72,13,14,7,15,7
149,Lucas Orban ,LB CB,72,48,64,67,47,57,74,44,64,67,64,68,64,70,57,67,75,69,74,49,79,74,59,58,61,71,75,80,82,16,9,12,13,15
154,Leonardo Jara ,RB CM,76,41,60,68,52,75,59,40,73,76,75,78,66,70,66,65,70,90,76,74,67,75,68,68,38,59,66,69,73,8,14,13,9,6
158,Matias Laba ,CDM CM,52,49,59,75,47,64,69,63,69,73,75,75,69,74,85,74,75,85,64,65,80,70,57,60,57,65,74,74,71,13,14,9,15,14
160,Guillermo Fernandez ,CM CDM,67,62,40,76,48,77,73,80,68,76,76,76,73,75,74,74,63,73,65,82,49,52,65,78,69,63,58,76,66,9,14,6,11,6
166,Fabricio Coloccini ,CB,53,44,80,68,58,60,58,56,68,61,65,53,56,78,62,60,80,55,73,70,78,75,37,46,58,78,73,72,73,11,16,14,16,6
169,Ezequiel Videla ,CM CDM,59,60,51,75,65,69,60,36,77,72,67,64,69,79,73,66,74,81,63,64,76,83,65,67,54,65,75,79,72,16,9,7,12,9
178,Ignacio Fernandez ,CM,70,63,57,78,60,74,72,69,73,72,67,70,73,72,65,73,38,85,73,78,69,60,69,77,57,65,49,55,51,7,8,14,10,12
182,Jesus Mendez ,CM CDM,66,62,65,77,46,72,70,71,71,75,60,65,73,76,68,75,70,77,75,69,80,62,71,73,54,63,67,66,61,12,6,15,6,16
186,Diego Gonzalez ,CM,68,63,68,74,42,71,53,41,72,73,66,69,65,73,63,75,67,91,75,73,84,75,67,66,57,69,72,74,71,16,13,7,12,14
188,Damian Perez ,LB,59,45,60,61,44,72,49,47,58,68,79,82,83,72,86,69,93,91,41,74,75,71,69,42,55,54,70,74,76,14,16,11,10,14
