link,name,position,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,Free Kick Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
http://sofifa.com/player/202126,Harry Kane ,ST,70,88,83,75,70,77,71,66,67,82,69,77,74,85,62,86,70,84,84,78,74,35,86,72,82,83,41,36,38,8,10,11,14,11
http://sofifa.com/player/150724,Joe Hart ,GK,14,14,10,32,19,23,17,13,35,20,59,60,50,77,32,65,72,28,61,19,28,25,14,42,68,68,14,14,13,84,81,75,82,87
http://sofifa.com/player/54050,Wayne Rooney ,CAM ST CM,78,84,76,79,85,77,84,81,85,80,69,73,77,83,77,86,81,84,84,84,81,54,85,83,79,89,48,54,37,10,11,13,8,7
http://sofifa.com/player/163631,Leighton Baines ,LB,88,70,74,81,63,78,81,82,74,79,76,75,75,80,85,84,72,86,69,75,74,80,75,76,90,81,81,82,82,8,15,10,13,12
http://sofifa.com/player/171833,Daniel Sturridge ,ST RW,62,84,73,75,76,82,62,68,62,81,85,86,78,82,64,83,74,72,71,83,60,22,84,74,75,81,15,24,12,7,15,9,5,13
http://sofifa.com/player/180819,Adam Lallana ,CM CF,74,79,67,86,72,85,77,66,78,85,76,74,83,78,76,72,73,86,67,72,74,66,77,83,70,80,60,68,61,6,15,14,8,11
http://sofifa.com/player/164468,Gary Cahill ,CB,28,56,86,65,47,58,48,27,61,63,69,66,62,84,51,63,82,68,78,66,78,83,45,56,53,77,83,85,84,5,12,9,5,12
http://sofifa.com/player/202652,Raheem Sterling ,RM LM RW,72,73,38,80,59,86,64,49,67,84,94,92,90,79,91,68,60,75,64,70,34,26,81,76,63,74,48,58,54,15,12,12,15,9
http://sofifa.com/player/189881,Chris Smalling ,CB,52,50,85,66,54,59,49,22,63,63,76,77,60,83,48,42,75,79,87,35,82,82,48,49,52,80,81,84,81,10,15,16,15,15
http://sofifa.com/player/189461,Jack Wilshere ,CM CAM CDM,73,64,58,84,64,84,80,72,83,84,79,74,83,80,87,75,67,82,66,73,83,61,80,85,65,80,61,63,65,6,15,15,9,11
http://sofifa.com/player/203042,Jack Butland ,GK,11,16,12,36,12,21,12,14,40,26,51,48,58,73,55,29,61,42,59,13,32,27,16,34,42,59,16,13,11,81,83,73,79,85
http://sofifa.com/player/183711,Jordan Henderson ,CDM CM,81,67,65,85,72,74,80,74,83,82,76,73,74,79,71,75,81,93,75,71,79,79,74,80,64,78,73,80,76,7,13,7,9,13
http://sofifa.com/player/13732,John Terry ,CB,42,46,90,64,55,45,44,31,62,60,33,34,44,81,46,61,80,63,85,33,80,83,38,59,52,82,82,84,83,14,5,6,15,8
http://sofifa.com/player/211117,Dele Alli ,CAM CDM LM,65,79,70,83,71,80,67,46,73,83,77,76,74,83,58,75,65,88,70,74,84,65,84,81,52,81,57,60,57,7,6,9,11,8
http://sofifa.com/player/188377,Kyle Walker ,RB,79,51,74,74,57,75,76,71,67,75,87,93,70,77,73,86,83,90,77,68,78,75,66,69,63,75,79,81,84,12,6,16,15,8
http://sofifa.com/player/190456,Nathaniel Clyne ,RB RWB,80,54,66,76,45,77,64,39,67,75,86,86,84,75,76,74,67,87,71,69,76,77,72,64,46,75,81,83,86,10,11,13,15,7
http://sofifa.com/player/199189,Ross Barkley ,CAM CM,65,70,65,84,61,85,68,70,78,86,80,80,70,77,59,80,63,74,79,79,73,45,71,81,65,80,56,60,52,9,14,12,6,10
http://sofifa.com/player/50542,Jermain Defoe ,ST,54,87,68,68,83,78,63,68,43,77,78,77,83,80,88,88,74,73,62,81,63,19,87,67,71,84,24,20,11,7,14,8,10,13
http://sofifa.com/player/169595,Danny Rose ,LB,80,57,60,75,64,79,64,57,66,76,81,84,73,79,76,72,71,83,72,69,85,79,68,73,57,74,80,83,84,10,11,8,13,13
http://sofifa.com/player/169596,Ryan Shawcross ,CB,33,53,84,63,35,42,34,24,69,54,54,54,62,73,57,44,72,79,88,28,85,82,31,50,48,62,82,83,80,10,12,7,13,15
http://sofifa.com/player/21146,Michael Carrick ,CDM CM,72,59,73,86,67,71,68,59,85,80,53,52,58,85,63,78,72,69,66,71,67,83,66,85,64,85,74,79,72,13,12,11,15,9
http://sofifa.com/player/53914,Phil Jagielka ,CB,55,30,79,71,44,49,55,31,66,62,66,68,51,74,64,69,83,78,83,54,79,81,51,39,68,78,81,84,81,32,33,38,32,34
http://sofifa.com/player/164859,Theo Walcott ,RM LM,77,82,58,75,72,81,76,74,65,79,92,93,83,79,79,76,66,75,62,69,65,35,81,73,74,78,33,39,36,11,8,9,9,8
http://sofifa.com/player/186132,Danny Drinkwater ,CM,64,61,61,81,61,73,70,69,83,80,68,68,69,79,78,76,56,83,74,73,72,76,74,77,53,77,70,79,76,12,6,8,9,12
http://sofifa.com/player/186146,Danny Welbeck ,ST LM,69,77,75,77,76,81,61,62,64,78,87,85,85,78,64,77,80,84,78,70,77,22,81,72,70,76,23,38,33,9,10,6,12,16
http://sofifa.com/player/163155,Ben Foster ,GK,15,18,14,36,14,14,15,17,32,25,50,48,45,72,50,27,75,32,57,14,15,23,14,42,41,67,15,15,14,79,79,73,77,84
http://sofifa.com/player/194957,Phil Jones ,CB,64,50,75,75,60,60,38,35,67,69,55,68,43,78,62,68,83,80,80,59,85,79,42,59,55,73,81,82,82,10,8,6,16,11
http://sofifa.com/player/205988,Luke Shaw ,LB,78,44,67,75,58,79,63,58,64,76,83,88,80,78,75,62,68,83,80,48,74,79,73,65,53,75,79,80,78,10,12,13,7,7
http://sofifa.com/player/6826,Gareth Barry ,CDM,80,56,74,83,65,68,78,78,74,76,32,34,52,78,63,77,70,79,77,71,80,82,58,74,72,81,79,80,80,7,13,9,7,12
http://sofifa.com/player/138412,James Milner ,LB RM CM,86,68,69,85,79,77,81,77,82,78,71,69,73,84,73,85,64,91,73,79,75,76,77,78,83,86,76,78,77,1,1,1,1,1
http://sofifa.com/player/208830,Jamie Vardy ,ST LW LM,63,82,64,66,75,75,59,48,48,76,94,92,77,83,79,85,70,90,69,68,92,49,82,72,76,78,48,52,51,15,14,7,15,11
http://sofifa.com/player/186115,Kieran Gibbs ,LB,76,47,68,74,47,74,64,52,65,75,79,83,73,81,74,72,70,77,69,65,72,79,65,69,63,77,78,79,80,6,11,8,9,15
http://sofifa.com/player/152908,Ashley Young ,LM RB,84,69,51,74,75,81,84,72,68,80,83,79,84,77,77,77,57,69,56,75,47,60,70,79,65,63,48,54,61,16,10,15,16,15
http://sofifa.com/player/202335,Eric Dier ,CB CDM,67,44,83,75,52,60,54,77,76,68,55,66,56,69,40,83,71,81,84,72,80,79,53,66,70,78,76,80,81,11,14,6,13,9
http://sofifa.com/player/198784,Alex Oxlade,RM LM,73,68,39,77,59,85,67,53,73,82,89,89,84,75,88,77,65,75,70,75,66,43,74,72,69,68,39,46,42,16,9,6,9,9
http://sofifa.com/player/172203,Fraser Forster ,GK,19,13,13,27,19,20,10,19,19,33,32,35,32,70,42,36,59,29,80,12,43,22,13,44,22,34,13,13,12,74,80,70,78,84
http://sofifa.com/player/157665,Scott Dann ,CB,30,40,85,63,29,38,30,29,65,66,49,54,50,77,56,52,72,74,82,32,73,80,36,55,30,80,80,80,78,6,10,15,7,9
http://sofifa.com/player/169705,Ryan Bertrand ,LB,79,35,69,76,43,74,74,69,70,76,81,79,76,76,71,59,71,79,71,54,73,77,62,51,52,75,79,81,82,11,13,15,10,15
http://sofifa.com/player/152879,Mark Noble ,CM CDM,71,61,62,81,69,74,71,67,79,77,51,52,66,73,74,74,59,90,71,68,81,76,64,80,88,79,65,75,76,7,6,14,16,11
http://sofifa.com/player/182836,Andy Carroll ,ST,64,76,91,65,74,67,53,42,56,74,69,65,62,77,50,85,84,75,92,78,85,45,75,65,73,78,42,46,43,14,14,12,10,6
http://sofifa.com/player/203574,John Stones ,CB,62,29,74,80,27,68,26,29,68,79,75,75,64,76,57,46,72,76,78,38,70,76,48,59,37,81,79,80,81,7,15,11,10,8
http://sofifa.com/player/183125,Troy Deeney ,ST,55,80,82,73,74,65,68,36,60,75,69,69,65,74,74,86,86,79,92,78,80,29,77,67,80,78,33,29,25,10,11,16,12,15
